number,name,latitude,longitude,bikes,stands
1,CLARENDON ROW,53.340927,-6.262501,22,9
2,BLESSINGTON STREET,53.356769,-6.26814,0,20
3,BOLTON STREET,53.351182,-6.269859,0,20
4,GREEK STREET,53.346874,-6.272976,2,18
5,CHARLEMONT PLACE,53.330662,-6.260177,27,13
6,CHRISTCHURCH PLACE,53.343368,-6.27012,8,12
7,HIGH STREET,53.343565,-6.275071,18,11
8,CUSTOM HOUSE QUAY,53.347884,-6.248048,8,22
9,EXCHEQUER STREET,53.343034,-6.263578,24,0
10,DAME STREET,53.344007,-6.266802,15,1
11,EARLSFORT TERRACE,53.334019,-6.258371,0,30
12,ECCLES STREET,53.359246,-6.269779,5,15
13,FITZWILLIAM SQUARE WEST,53.336074,-6.252825,2,28
14,FOWNES STREET UPPER,53.344603,-6.263371,30,0
15,HARDWICKE STREET,53.355473,-6.264423,3,13
16,GEORGES QUAY,53.347508,-6.252192,19,1
17,GOLDEN LANE,53.340803,-6.267732,4,16
18,GRANTHAM STREET,53.334123,-6.265436,10,19
19,HERBERT PLACE,53.334432,-6.245575,1,29
21,LEINSTER STREET SOUTH,53.34218,-6.254485,27,3
22,TOWNSEND STREET,53.345922,-6.254614,20,0
23,CUSTOM HOUSE,53.348279,-6.254662,29,0
24,CATHAL BRUGHA STREET,53.352149,-6.260533,18,2
25,MERRION SQUARE EAST,53.339434,-6.246548,3,27
26,MERRION SQUARE WEST,53.339764,-6.251988,20,0
27,MOLESWORTH STREET,53.341288,-6.258117,6,14
28,MOUNTJOY SQUARE WEST,53.356299,-6.258586,5,25
29,ORMOND QUAY UPPER,53.346057,-6.268001,3,26
30,PARNELL SQUARE NORTH,53.353462,-6.265305,3,17
31,PARNELL STREET,53.350929,-6.265125,6,14
32,PEARSE STREET,53.344304,-6.250427,23,7
33,PRINCES STREET / O'CONNELL STREET,53.349013,-6.260311,23,0
34,PORTOBELLO HARBOUR,53.330362,-6.265163,21,9
35,SMITHFIELD,53.347692,-6.278214,1,29
36,ST. STEPHEN'S GREEN EAST,53.337824,-6.256035,9,31
37,ST. STEPHEN'S GREEN SOUTH,53.337494,-6.26199,0,30
38,TALBOT STREET,53.350974,-6.25294,32,8
39,WILTON TERRACE,53.332383,-6.252717,0,20
40,JERVIS STREET,53.3483,-6.266651,13,8
41,HARCOURT TERRACE,53.332763,-6.257942,0,20
42,SMITHFIELD NORTH,53.349562,-6.278198,30,0
43,PORTOBELLO ROAD,53.330091,-6.268044,20,10
44,UPPER SHERRARD STREET,53.358437,-6.260641,8,22
45,DEVERELL PLACE,53.351464,-6.255265,23,7
46,STRAND STREET GREAT,53.347082,-6.264192,19,16
47,HERBERT STREET,53.335742,-6.24551,0,40
48,EXCISE WALK,53.347777,-6.244239,32,8
49,GUILD STREET,53.347932,-6.240928,28,12
